;WEEK_PRI;YEAR_PRI;CASES
0;01;2016;1
1;01;2017;87
2;01;2018;40
3;01;2019;428
4;01;2020;55
5;01;2021;4
6;01;2022;6
7;01;2023;8
8;01;2024;38
9;02;2016;1
10;02;2017;94
11;02;2018;55
12;02;2019;427
13;02;2020;68
14;02;2021;3
15;02;2023;6
16;02;2024;33
17;03;2017;95
18;03;2018;55
19;03;2019;412
20;03;2020;82
21;03;2021;2
22;03;2022;3
23;03;2023;6
24;03;2024;40
25;04;2001;1
26;04;2017;111
27;04;2018;45
28;04;2019;343
29;04;2020;57
30;04;2021;2
31;04;2022;4
32;04;2023;8
33;04;2024;42
34;05;2016;3
35;05;2017;89
36;05;2018;57
37;05;2019;278
38;05;2020;74
39;05;2022;4
40;05;2023;7
41;05;2024;57
42;06;2016;2
43;06;2017;105
44;06;2018;56
45;06;2019;204
46;06;2020;45
47;06;2021;4
48;06;2022;4
49;06;2023;7
50;06;2024;59
51;07;2016;3
52;07;2017;78
53;07;2018;61
54;07;2019;224
55;07;2020;41
56;07;2021;3
57;07;2022;1
58;07;2023;3
59;07;2024;27
60;08;2016;2
61;08;2017;54
62;08;2018;113
63;08;2019;251
64;08;2020;37
65;08;2021;3
66;08;2022;5
67;08;2023;3
68;08;2024;43
69;09;2016;1
70;09;2017;61
71;09;2018;190
72;09;2019;235
73;09;2020;36
74;09;2021;7
75;09;2022;5
76;09;2023;9
77;09;2024;36
78;10;2016;1
79;10;2017;74
80;10;2018;215
81;10;2019;372
82;10;2020;47
83;10;2021;4
84;10;2022;12
85;10;2023;8
86;10;2024;16
87;11;2016;3
88;11;2017;57
89;11;2018;258
90;11;2019;536
91;11;2020;44
92;11;2021;10
93;11;2022;7
94;11;2023;15
95;11;2024;28
96;12;2016;4
97;12;2017;45
98;12;2018;289
99;12;2019;673
100;12;2020;24
101;12;2021;7
102;12;2022;6
103;12;2023;12
104;12;2024;18
105;13;2016;7
106;13;2017;52
107;13;2018;336
108;13;2019;1062
109;13;2020;17
110;13;2021;3
111;13;2022;7
112;13;2023;12
113;13;2024;23
114;14;2016;5
115;14;2017;42
116;14;2018;410
117;14;2019;1728
118;14;2020;9
119;14;2021;4
120;14;2022;3
121;14;2023;9
122;14;2024;28
123;15;2016;10
124;15;2017;35
125;15;2018;370
126;15;2019;1725
127;15;2020;12
128;15;2021;11
129;15;2022;2
130;15;2023;10
131;15;2024;22
132;16;2016;6
133;16;2017;29
134;16;2018;362
135;16;2019;2010
136;16;2020;16
137;16;2021;6
138;16;2022;10
139;16;2023;13
140;16;2024;19
141;17;2016;14
142;17;2017;52
143;17;2018;363
144;17;2019;2254
145;17;2020;13
146;17;2021;8
147;17;2022;8
148;17;2023;9
149;17;2024;13
150;18;2016;12
151;18;2017;45
152;18;2018;505
153;18;2019;2667
154;18;2020;12
155;18;2021;12
156;18;2022;14
157;18;2023;19
158;18;2024;10
159;19;2016;18
160;19;2017;33
161;19;2018;479
162;19;2019;3058
163;19;2020;2
164;19;2021;7
165;19;2022;12
166;19;2023;18
167;19;2024;8
168;20;2016;8
169;20;2017;36
170;20;2018;426
171;20;2019;2958
172;20;2020;4
173;20;2021;9
174;20;2022;9
175;20;2023;18
176;20;2024;5
177;21;2016;8
178;21;2017;15
179;21;2018;320
180;21;2019;2611
181;21;2020;5
182;21;2021;3
183;21;2022;12
184;21;2023;29
185;21;2024;9
186;22;2016;7
187;22;2017;31
188;22;2018;310
189;22;2019;2268
190;22;2020;8
191;22;2021;2
192;22;2022;13
193;22;2023;35
194;22;2024;2
195;23;2016;11
196;23;2017;24
197;23;2018;302
198;23;2019;1934
199;23;2020;10
200;23;2021;3
201;23;2022;3
202;23;2023;18
203;23;2024;1
204;24;2016;6
205;24;2017;27
206;24;2018;224
207;24;2019;1689
208;24;2020;3
209;24;2021;7
210;24;2022;4
211;24;2023;24
212;25;2016;4
213;25;2017;23
214;25;2018;171
215;25;2019;1354
216;25;2020;8
217;25;2021;4
218;25;2022;11
219;25;2023;12
220;26;2016;7
221;26;2017;27
222;26;2018;310
223;26;2019;1303
224;26;2021;3
225;26;2022;6
226;26;2023;15
227;27;2016;8
228;27;2017;17
229;27;2018;308
230;27;2019;1407
231;27;2020;10
232;27;2021;7
233;27;2022;5
234;27;2023;15
235;28;2016;9
236;28;2017;22
237;28;2018;286
238;28;2019;783
239;28;2020;11
240;28;2021;6
241;28;2022;4
242;28;2023;10
243;29;2016;5
244;29;2017;21
245;29;2018;279
246;29;2019;595
247;29;2020;14
248;29;2021;5
249;29;2022;6
250;29;2023;7
251;30;2016;3
252;30;2017;9
253;30;2018;215
254;30;2019;428
255;30;2020;8
256;30;2021;2
257;30;2022;2
258;30;2023;6
259;31;2016;4
260;31;2017;20
261;31;2018;191
262;31;2019;333
263;31;2020;4
264;31;2021;4
265;31;2022;6
266;31;2023;9
267;32;2016;3
268;32;2017;10
269;32;2018;161
270;32;2019;246
271;32;2020;9
272;32;2021;3
273;32;2022;1
274;32;2023;8
275;33;2016;3
276;33;2017;9
277;33;2018;131
278;33;2019;217
279;33;2020;7
280;33;2021;2
281;33;2022;5
282;33;2023;11
283;34;2016;1
284;34;2017;4
285;34;2018;114
286;34;2019;130
287;34;2020;9
288;34;2021;4
289;34;2022;4
290;34;2023;8
291;35;2016;3
292;35;2017;13
293;35;2018;111
294;35;2019;112
295;35;2020;3
296;35;2021;2
297;35;2022;2
298;35;2023;8
299;36;2016;3
300;36;2017;12
301;36;2018;89
302;36;2019;117
303;36;2020;3
304;36;2022;6
305;36;2023;9
306;37;2016;5
307;37;2017;12
308;37;2018;92
309;37;2019;84
310;37;2020;8
311;37;2021;1
312;37;2022;4
313;37;2023;13
314;38;2017;10
315;38;2018;97
316;38;2019;81
317;38;2020;2
318;38;2021;4
319;38;2022;7
320;38;2023;13
321;39;2016;3
322;39;2017;10
323;39;2018;64
324;39;2019;57
325;39;2020;4
326;39;2021;2
327;39;2022;6
328;39;2023;9
329;40;2017;22
330;40;2018;103
331;40;2019;114
332;40;2020;8
333;40;2021;2
334;40;2022;7
335;40;2023;4
336;41;2016;1
337;41;2017;16
338;41;2018;95
339;41;2019;119
340;41;2020;5
341;41;2021;2
342;41;2022;3
343;41;2023;6
344;42;2016;3
345;42;2017;12
346;42;2018;90
347;42;2019;122
348;42;2020;6
349;42;2021;1
350;42;2022;2
351;42;2023;4
352;43;2016;4
353;43;2017;9
354;43;2018;83
355;43;2019;72
356;43;2020;5
357;43;2021;3
358;43;2022;3
359;43;2023;9
360;44;2016;4
361;44;2017;14
362;44;2018;103
363;44;2019;54
364;44;2020;3
365;44;2021;3
366;44;2022;1
367;44;2023;9
368;45;2016;1
369;45;2017;9
370;45;2018;125
371;45;2019;67
372;45;2020;8
373;45;2021;4
374;45;2022;4
375;45;2023;3
376;46;2016;1
377;46;2017;9
378;46;2018;125
379;46;2019;44
380;46;2020;8
381;46;2021;2
382;46;2022;4
383;46;2023;9
384;47;2016;6
385;47;2017;8
386;47;2018;126
387;47;2019;67
388;47;2020;5
389;47;2021;2
390;47;2022;3
391;47;2023;5
392;48;2016;2
393;48;2017;10
394;48;2018;195
395;48;2019;69
396;48;2020;7
397;48;2021;6
398;48;2022;6
399;48;2023;12
400;49;2016;4
401;49;2017;30
402;49;2018;205
403;49;2019;51
404;49;2020;11
405;49;2021;2
406;49;2022;5
407;49;2023;14
408;50;2015;1
409;50;2016;2
410;50;2017;36
411;50;2018;243
412;50;2019;56
413;50;2020;5
414;50;2021;2
415;50;2022;6
416;50;2023;17
417;51;2016;4
418;51;2017;31
419;51;2018;210
420;51;2019;36
421;51;2020;3
422;51;2023;12
423;52;2015;1
424;52;2016;5
425;52;2017;22
426;52;2018;121
427;52;2019;37
428;52;2020;1
429;52;2021;1
430;52;2022;2
431;52;2023;13
